FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2480,203,1240815112.000000000000000, ,roof,-0.340318300000000,39.469952100000000,-0.340513300000000,39.470009800000000
2481,1,23413845.000000000000000, ,school,-0.340513300000000,39.470009800000000,-0.340526500000000,39.469955200000001
2482,1,23413845.000000000000000, ,school,-0.340526500000000,39.469955200000001,-0.340535000000000,39.469920500000001
2483,1,23413845.000000000000000, ,school,-0.340535000000000,39.469920500000001,-0.340547400000000,39.469924200000001
2484,1,23413845.000000000000000, ,school,-0.340547400000000,39.469924200000001,-0.340714400000000,39.469973099999997
2485,1,23413845.000000000000000, ,school,-0.340714400000000,39.469973099999997,-0.340703300000000,39.470007799999998
2486,1,23413845.000000000000000, ,school,-0.340703300000000,39.470007799999998,-0.340686200000000,39.470061100000002
2487,1,23413845.000000000000000, ,school,-0.340686200000000,39.470061100000002,-0.340691900000000,39.470062900000002
2488,197,1240815103.000000000000000, , ,-0.340513300000000,39.470009800000000,-0.340526500000000,39.469955200000001
2489,197,1240815103.000000000000000, , ,-0.340526500000000,39.469955200000001,-0.340535000000000,39.469920500000001
2490,197,1240815103.000000000000000, , ,-0.340535000000000,39.469920500000001,-0.340547400000000,39.469924200000001
2491,197,1240815103.000000000000000, , ,-0.340547400000000,39.469924200000001,-0.340714400000000,39.469973099999997
2492,197,1240815103.000000000000000, , ,-0.340714400000000,39.469973099999997,-0.340703300000000,39.470007799999998
2493,197,1240815103.000000000000000, , ,-0.340703300000000,39.470007799999998,-0.340686200000000,39.470061100000002
2494,197,1240815103.000000000000000, , ,-0.340686200000000,39.470061100000002,-0.340691900000000,39.470062900000002
2495,203,1240815112.000000000000000, ,roof,-0.340513300000000,39.470009800000000,-0.340526500000000,39.469955200000001
2496,203,1240815112.000000000000000, ,roof,-0.340526500000000,39.469955200000001,-0.340535000000000,39.469920500000001
2497,203,1240815112.000000000000000, ,roof,-0.340535000000000,39.469920500000001,-0.340547400000000,39.469924200000001
2498,203,1240815112.000000000000000, ,roof,-0.340547400000000,39.469924200000001,-0.340714400000000,39.469973099999997
2499,203,1240815112.000000000000000, ,roof,-0.340714400000000,39.469973099999997,-0.340703300000000,39.470007799999998
2500,203,1240815112.000000000000000, ,roof,-0.340703300000000,39.470007799999998,-0.340686200000000,39.470061100000002
2501,203,1240815112.000000000000000, ,roof,-0.340686200000000,39.470061100000002,-0.340691900000000,39.470062900000002
2502,139,689178637.000000000000000, ,apartments,-0.342131500000000,39.470064100000002,-0.341870400000000,39.469984199999999
2503,140,689178638.000000000000000, ,apartments,-0.342131500000000,39.470064100000002,-0.341870400000000,39.469984199999999
2504,202,1240815111.000000000000000, ,roof,-0.341288800000000,39.470083000000002,-0.341313900000000,39.470031499999997
2505,202,1240815111.000000000000000, ,roof,-0.341313900000000,39.470031499999997,-0.341379800000000,39.470050700000002
2506,1,23413845.000000000000000, ,school,-0.341379800000000,39.470050700000002,-0.341389400000000,39.470053499999999
2507,1,23413845.000000000000000, ,school,-0.341389400000000,39.470053499999999,-0.341364300000000,39.470104999999997
